fold_id,test_date,candidate_name,num_leaves,max_depth,min_child_samples,best_iteration,validation_mean_ic,validation_valid_months,validation_ndcg_at_10,selected
37,2023-01-31,flexible,31,5,40,43,-0.017062825130052018,12,0.3632439193059604,False
37,2023-01-31,regularized,15,4,40,252,-0.037110844337735094,12,0.3554414876454097,False
38,2023-02-28,shallow,7,3,80,95,-0.015446178471388563,12,0.41617694883144946,False
38,2023-02-28,balanced,15,4,60,67,-0.013469387755102055,12,0.4166886779234706,False
38,2023-02-28,flexible,31,5,40,81,0.0017206882753101245,12,0.4437222244077939,True
38,2023-02-28,regularized,15,4,40,69,-0.003977591036414568,12,0.42370734480927874,False
39,2023-03-31,shallow,7,3,80,167,-0.0007603041216486493,12,0.38859291005067803,True
39,2023-03-31,balanced,15,4,60,80,-0.0044177671068427364,12,0.4039428166741568,False
39,2023-03-31,flexible,31,5,40,126,-0.01342937174869948,12,0.40377960112451344,False
39,2023-03-31,regularized,15,4,40,67,-0.019487795118047227,12,0.4104313360620606,False
40,2023-04-28,shallow,7,3,80,167,-0.0007603041216486493,12,0.38859291005067803,True
40,2023-04-28,balanced,15,4,60,80,-0.0044177671068427364,12,0.4039428166741568,False
40,2023-04-28,flexible,31,5,40,126,-0.01342937174869948,12,0.40377960112451344,False
40,2023-04-28,regularized,15,4,40,67,-0.019487795118047227,12,0.4104313360620606,False
41,2023-05-31,shallow,7,3,80,57,0.015550220088035199,12,0.4250819636407961,False
41,2023-05-31,balanced,15,4,60,4,0.026402805491244703,12,0.39711679375198955,False
41,2023-05-31,flexible,31,5,40,27,0.01826417203767515,12,0.4194748173009338,False
41,2023-05-31,regularized,15,4,40,12,0.03870323218055464,12,0.4463671562462455,True
42,2023-06-30,shallow,7,3,80,71,0.0446578631452581,12,0.4250942371058935,False
42,2023-06-30,balanced,15,4,60,95,0.032629051620648254,12,0.4216019315297215,False
42,2023-06-30,flexible,31,5,40,36,0.03318927571028411,12,0.4045759334519097,False
42,2023-06-30,regularized,15,4,40,13,0.04985466150995843,12,0.41988010709821016,True
43,2023-07-31,shallow,7,3,80,71,0.0446578631452581,12,0.4250942371058935,False
43,2023-07-31,balanced,15,4,60,95,0.032629051620648254,12,0.4216019315297215,False
43,2023-07-31,flexible,31,5,40,36,0.03318927571028411,12,0.4045759334519097,False
43,2023-07-31,regularized,15,4,40,13,0.04985466150995843,12,0.41988010709821016,True
44,2023-08-31,shallow,7,3,80,35,0.02344246939733269,12,0.4234900215114638,True
44,2023-08-31,balanced,15,4,60,18,0.006951339010235698,12,0.40006569240437084,False
44,2023-08-31,flexible,31,5,40,36,0.013197278911564629,12,0.38151231127034974,False
44,2023-08-31,regularized,15,4,40,21,0.01208482870039837,12,0.4181773588969839,False
45,2023-09-29,shallow,7,3,80,35,0.02344246939733269,12,0.4234900215114638,True
45,2023-09-29,balanced,15,4,60,18,0.006951339010235698,12,0.40006569240437084,False
45,2023-09-29,flexible,31,5,40,36,0.013197278911564629,12,0.38151231127034974,False
45,2023-09-29,regularized,15,4,40,21,0.01208482870039837,12,0.4181773588969839,False
46,2023-10-31,shallow,7,3,80,15,0.027377948552916642,12,0.40545891849153853,True
46,2023-10-31,balanced,15,4,60,18,0.018468217909939483,12,0.38194860657960467,False
46,2023-10-31,flexible,31,5,40,2,0.0009448142381317118,12,0.37226345525956,False
46,2023-10-31,regularized,15,4,40,11,-0.026825327021986544,12,0.3592890823324928,False
47,2023-11-30,shallow,7,3,80,25,0.050040147360118574,12,0.4495860016063849,False
47,2023-11-30,balanced,15,4,60,13,0.05824991368444451,12,0.4205635838050301,True
47,2023-11-30,flexible,31,5,40,51,0.018783513405362138,12,0.3901241089539617,False
47,2023-11-30,regularized,15,4,40,237,0.03155662264905964,12,0.40633371141836333,False
48,2023-12-29,shallow,7,3,80,25,0.050040147360118574,12,0.4495860016063849,False
48,2023-12-29,balanced,15,4,60,13,0.05824991368444451,12,0.4205635838050301,True
48,2023-12-29,flexible,31,5,40,51,0.018783513405362138,12,0.3901241089539617,False
48,2023-12-29,regularized,15,4,40,237,0.03155662264905964,12,0.40633371141836333,False
49,2024-01-31,shallow,7,3,80,56,0.03823929571828732,12,0.4303134198769368,False
49,2024-01-31,balanced,15,4,60,14,0.07039883432087275,12,0.41705422062994324,True
49,2024-01-31,flexible,31,5,40,6,0.023971355988767276,12,0.42994552961116045,False
49,2024-01-31,regularized,15,4,40,39,0.030156869019142152,12,0.4139479304929304,False
50,2024-02-29,shallow,7,3,80,56,0.03823929571828732,12,0.4303134198769368,False
50,2024-02-29,balanced,15,4,60,14,0.07039883432087275,12,0.41705422062994324,True
50,2024-02-29,flexible,31,5,40,6,0.023971355988767276,12,0.42994552961116045,False
50,2024-02-29,regularized,15,4,40,39,0.030156869019142152,12,0.4139479304929304,False
51,2024-03-28,shallow,7,3,80,44,0.06996033949073108,12,0.4579363400048344,False
51,2024-03-28,balanced,15,4,60,83,0.11736694677871147,12,0.502792562795503,False
51,2024-03-28,flexible,31,5,40,2,0.1526408354674863,12,0.4542095464683685,True
51,2024-03-28,regularized,15,4,40,69,0.0952701080432173,12,0.4461947149530276,False
52,2024-04-30,shallow,7,3,80,21,0.14113122464611416,12,0.5089257300548221,True
52,2024-04-30,balanced,15,4,60,18,0.11704350057594413,12,0.4873340676719326,False
52,2024-04-30,flexible,31,5,40,192,0.12272108843537412,12,0.4703104581043398,False
52,2024-04-30,regularized,15,4,40,10,0.12405070753108138,12,0.47097159420349266,False
53,2024-05-31,shallow,7,3,80,24,0.14408807333854065,12,0.49040551311722974,True
53,2024-05-31,balanced,15,4,60,10,0.08241927596153882,12,0.46395409364045487,False
53,2024-05-31,flexible,31,5,40,27,0.0909483793517407,12,0.46249959727609596,False
53,2024-05-31,regularized,15,4,40,23,0.12323574052644747,12,0.46464097852627967,False
54,2024-06-28,shallow,7,3,80,24,0.14408807333854065,12,0.49040551311722974,True
54,2024-06-28,balanced,15,4,60,10,0.08241927596153882,12,0.46395409364045487,False
54,2024-06-28,flexible,31,5,40,27,0.0909483793517407,12,0.46249959727609596,False
54,2024-06-28,regularized,15,4,40,23,0.12323574052644747,12,0.46464097852627967,False
55,2024-07-31,shallow,7,3,80,31,0.13097926741981628,12,0.46211212723856393,True
55,2024-07-31,balanced,15,4,60,10,0.10654440097003585,12,0.4670506141866957,False
55,2024-07-31,flexible,31,5,40,18,0.11297941592831844,12,0.4379297263852655,False
55,2024-07-31,regularized,15,4,40,19,0.10737181017238145,12,0.4606416211420547,False
56,2024-08-30,shallow,7,3,80,11,0.062276307418948205,12,0.4459886869851653,False
56,2024-08-30,balanced,15,4,60,16,0.08774503382305533,12,0.4514606474069036,False
56,2024-08-30,flexible,31,5,40,6,0.1014272364171372,12,0.450531489449526,False
56,2024-08-30,regularized,15,4,40,38,0.1250985608356697,12,0.45518406372462783,True
57,2024-09-30,shallow,7,3,80,11,0.062276307418948205,12,0.4459886869851653,False
57,2024-09-30,balanced,15,4,60,16,0.08774503382305533,12,0.4514606474069036,False
57,2024-09-30,flexible,31,5,40,6,0.1014272364171372,12,0.450531489449526,False
57,2024-09-30,regularized,15,4,40,38,0.1250985608356697,12,0.45518406372462783,True
58,2024-10-31,shallow,7,3,80,11,0.14661806051982415,12,0.4894853855120352,True
58,2024-10-31,balanced,15,4,60,7,0.05738428549302373,12,0.44621667880628824,False
58,2024-10-31,flexible,31,5,40,14,0.1030673604680365,12,0.474016766663144,False
58,2024-10-31,regularized,15,4,40,7,0.08836417163550848,12,0.45052754754256136,False
59,2024-11-29,shallow,7,3,80,11,0.14661806051982415,12,0.4894853855120352,True
59,2024-11-29,balanced,15,4,60,7,0.05738428549302373,12,0.44621667880628824,False
59,2024-11-29,flexible,31,5,40,14,0.1030673604680365,12,0.474016766663144,False
59,2024-11-29,regularized,15,4,40,7,0.08836417163550848,12,0.45052754754256136,False
60,2024-12-31,shallow,7,3,80,28,0.08897344557983357,12,0.46006855909238964,False
