first_signal,second_signal,months,mean_correlation,median_correlation,mean_absolute_correlation,maximum_absolute_correlation
return_1w_sector_neutral,volatility_20d_sector_neutral,72,0.033881552621048416,0.01426170468187275,0.21290249433106573,0.661656662665066
return_3m_sector_neutral,volatility_20d_sector_neutral,69,0.0024336691198218407,0.019735894357743092,0.2118252518398664,0.5590876350540215
return_3m_sector_neutral,volatility_60d_sector_neutral,69,0.03398716008142387,0.04643457382953182,0.21179463089583656,0.5528451380552221
momentum_12_1_sector_neutral,distance_sma_50d_sector_neutral,60,0.11642256902761104,0.10506602641056423,0.20842256902761103,0.5337334933973589
volatility_60d_sector_neutral,distance_sma_50d_sector_neutral,70,0.027940318984736753,0.029099639855942376,0.20787789401474874,0.6286194477791116
return_1w_sector_neutral,sma_50_200_spread_sector_neutral,63,0.02531679338402028,0.0008163265306122449,0.20776996512890866,0.5941416566626649
downside_volatility_60d_sector_neutral,average_dollar_volume_20d_sector_neutral,70,0.17812793688904133,0.18981992797118846,0.20601200480192075,0.47361344537815125
return_1w_sector_neutral,positive_day_ratio_60d_sector_neutral,70,0.13403906797393625,0.1311839127758857,0.20333257303575433,0.5718952172497994
return_1w_sector_neutral,max_drawdown_126d_sector_neutral,66,0.019779548182909532,0.0258343337334934,0.2021113900105497,0.48696278511404556
reversal_1m_sector_neutral,volatility_60d_sector_neutral,70,-0.02926016120734008,-0.05114045618247299,0.2007820270965529,0.6916206482593037
return_1m_sector_neutral,volatility_60d_sector_neutral,70,0.02926016120734008,0.05114045618247299,0.2007820270965529,0.6916206482593037
momentum_12_1_sector_neutral,average_dollar_volume_20d_sector_neutral,60,0.11019767907162864,0.142280912364946,0.20035694277711086,0.47649459783913567
volatility_20d_sector_neutral,distance_sma_50d_sector_neutral,70,-0.0037797976333390493,-0.04513805522208883,0.19935517063968444,0.5157743097238895
reversal_1m_sector_neutral,beta_60d_market_sector_neutral,70,-0.019571257074258275,-0.04619447779111644,0.19711061567484137,0.6917166866746699
return_1m_sector_neutral,beta_60d_market_sector_neutral,70,0.019571257074258275,0.04619447779111644,0.19711061567484137,0.6917166866746699
downside_volatility_60d_sector_neutral,positive_day_ratio_60d_sector_neutral,70,-0.17621141861416664,-0.1997025975176988,0.19632913303761781,0.5100526581499658
return_1m_sector_neutral,volatility_20d_sector_neutral,71,0.026580322269752977,0.05517406962785113,0.19606107231625042,0.6295798319327731
reversal_1m_sector_neutral,volatility_20d_sector_neutral,71,-0.026580322269752977,-0.05517406962785113,0.19606107231625042,0.6295798319327731
reversal_1m_sector_neutral,sma_50_200_spread_sector_neutral,63,-0.11686274509803922,-0.09118847539015605,0.19594199584595745,0.5946218487394958
return_1m_sector_neutral,sma_50_200_spread_sector_neutral,63,0.11686274509803922,0.09118847539015605,0.19594199584595745,0.5946218487394958
momentum_12_1_sector_neutral,return_1w_sector_neutral,60,0.027366146458583433,0.03207683073229292,0.1952156862745098,0.5610084033613445
return_3m_sector_neutral,beta_60d_market_sector_neutral,69,0.044803312629399586,0.054405762304921966,0.19069262487603736,0.570516206482593
max_drawdown_126d_sector_neutral,amihud_illiquidity_20d_sector_neutral,66,-0.1283116883116883,-0.13066026410564224,0.18707119211320894,0.4616086434573829
average_dollar_volume_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,70,0.1546986794717887,0.1543817527010804,0.18691407991768136,0.5006962785114045
momentum_12_1_sector_neutral,reversal_1m_sector_neutral,60,0.02331012404961984,0.0746218487394958,0.18654981992797118,0.466890756302521
momentum_12_1_sector_neutral,return_1m_sector_neutral,60,-0.02331012404961984,-0.0746218487394958,0.18654981992797118,0.466890756302521
volatility_60d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,70,0.006973760932944607,0.010468187274909963,0.18649837077688217,0.5094357743097239
momentum_6_1_sector_neutral,return_1w_sector_neutral,66,0.0023864091090981796,-0.024969987995198076,0.18571064789552186,0.478703481392557
sma_50_200_spread_sector_neutral,average_dollar_volume_20d_sector_neutral,63,0.06881762228701004,0.07966386554621849,0.18292955277349035,0.3938055222088835
beta_60d_market_sector_neutral,distance_sma_50d_sector_neutral,70,0.022013376779283132,-0.006290516206482593,0.18274738466815296,0.6197839135654261
momentum_6_1_sector_neutral,average_dollar_volume_20d_sector_neutral,66,0.08151769798828623,0.10775510204081631,0.17490050565680818,0.4165666266506603
volatility_20d_sector_neutral,positive_day_ratio_60d_sector_neutral,70,-0.11997855465147327,-0.13630309804570914,0.17328714681901394,0.5062804963726596
momentum_6_1_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,66,0.07698934119102185,0.09589435774309724,0.17312088471752335,0.5387274909963985
volatility_60d_sector_neutral,positive_day_ratio_60d_sector_neutral,70,-0.12488771510795134,-0.14190722789809473,0.17061809714183934,0.490500812426072
momentum_6_1_sector_neutral,return_1m_sector_neutral,66,-0.008509585652442796,-0.012533013205282112,0.169966168285496,0.5488115246098438
momentum_6_1_sector_neutral,reversal_1m_sector_neutral,66,0.008509585652442796,0.012533013205282112,0.169966168285496,0.5488115246098438
return_1m_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,70,0.0776937060538501,0.064921968787515,0.1694611558909278,0.5040576230492196
reversal_1m_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,70,-0.0776937060538501,-0.064921968787515,0.1694611558909278,0.5040576230492196
distance_sma_200d_sector_neutral,average_dollar_volume_20d_sector_neutral,63,0.05845614436250689,0.05248499399759904,0.16829055431696485,0.4326050420168067
beta_60d_market_sector_neutral,average_dollar_volume_20d_sector_neutral,70,0.12759252272337507,0.1486674669867947,0.16566215057451553,0.46189675870348135
sma_50_200_spread_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,63,0.08894453019302961,0.07831932773109243,0.16534994950361098,0.5146218487394958
max_drawdown_126d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,66,0.05263196187565935,0.07082833133253301,0.16418349157844955,0.5572629051620648
beta_60d_market_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,70,0.013406962785114043,0.025258103241296518,0.16322140284685302,0.6538775510204081
momentum_12_1_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,60,0.062084033613445375,0.06717887154861944,0.16092837134853938,0.44288115246098436
return_1w_sector_neutral,amihud_illiquidity_20d_sector_neutral,72,0.03730825663598772,0.028475390156062427,0.16052020808323328,0.5261464585834333
distance_sma_50d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,70,0.09719636425998969,0.09363745498199279,0.16042119705024865,0.4395198079231693
return_3m_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,69,0.10480644431685716,0.11270108043217285,0.1579978078187797,0.4503721488595438
max_drawdown_126d_sector_neutral,average_dollar_volume_20d_sector_neutral,66,-0.14109498344792462,-0.11591836734693878,0.15743169995270836,0.5307563025210084
reversal_1m_sector_neutral,average_dollar_volume_20d_sector_neutral,71,-0.010336303535498708,-0.03644657863145258,0.1562497675126388,0.44883553421368544
return_1m_sector_neutral,average_dollar_volume_20d_sector_neutral,71,0.010336303535498708,0.03644657863145258,0.1562497675126388,0.44883553421368544
downside_volatility_60d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,70,-0.00021540044589263762,-0.01128451380552221,0.1556425998971017,0.4695798319327731
distance_sma_50d_sector_neutral,average_dollar_volume_20d_sector_neutral,70,0.026521694392042532,0.0041776710684273705,0.15406894186245926,0.4398079231692677
distance_sma_200d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,63,0.11729263133824958,0.12115246098439375,0.1521652470512014,0.5197118847539015
momentum_12_1_sector_neutral,amihud_illiquidity_20d_sector_neutral,60,-0.0262360944377751,-0.07231692677070828,0.15133733493397358,0.41704681872749094
return_1w_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,70,0.0121817870005145,0.006866746698679472,0.14904613273880982,0.3883313325330132
return_3m_sector_neutral,average_dollar_volume_20d_sector_neutral,69,0.04631348191450492,0.06439375750300119,0.14804739287019156,0.4202160864345738
return_1m_sector_neutral,amihud_illiquidity_20d_sector_neutral,71,0.038495849043842886,0.032220888355342134,0.14798370052246249,0.5289315726290517
reversal_1m_sector_neutral,amihud_illiquidity_20d_sector_neutral,71,-0.038495849043842886,-0.032220888355342134,0.14798370052246249,0.5289315726290517
beta_60d_market_sector_neutral,positive_day_ratio_60d_sector_neutral,70,-0.03798642553031816,-0.060930165482198685,0.14503430218970126,0.4185398775833214
return_1w_sector_neutral,average_dollar_volume_20d_sector_neutral,72,-0.004763238628784854,-0.03615846338535414,0.1438108576764039,0.45210084033613446
positive_day_ratio_60d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,70,0.10019567550616809,0.08370721571937809,0.1408445388094831,0.49556928224562935
positive_day_ratio_60d_sector_neutral,average_dollar_volume_20d_sector_neutral,70,-0.07385910277246946,-0.09343097337369889,0.1384488414626884,0.37214114505822826
distance_sma_50d_sector_neutral,amihud_illiquidity_20d_sector_neutral,70,0.010322757674498376,0.006818727490996398,0.13806894186245924,0.4386554621848739
return_3m_sector_neutral,amihud_illiquidity_20d_sector_neutral,69,-0.0010988743323416348,-0.014261704681872748,0.13061433268959757,0.4803361344537815
distance_sma_200d_sector_neutral,amihud_illiquidity_20d_sector_neutral,63,-0.01073877169915585,-0.04076830732292917,0.12888126679243125,0.4369267707082833
momentum_6_1_sector_neutral,amihud_illiquidity_20d_sector_neutral,66,-0.030573684019062162,-0.059783913565426165,0.12794790643530138,0.4077310924369748
sma_50_200_spread_sector_neutral,amihud_illiquidity_20d_sector_neutral,63,-0.020706949446445248,-0.0563265306122449,0.12419672630957145,0.42818727490996394
dollar_volume_change_20d_60d_sector_neutral,amihud_illiquidity_20d_sector_neutral,70,-0.04763642599897102,-0.05104441776710684,0.12375373006345397,0.3626890756302521
positive_day_ratio_60d_sector_neutral,amihud_illiquidity_20d_sector_neutral,70,0.04121732808814213,0.038855178431568216,0.10872013926716402,0.3849183588424074
