signal_date,execution_date,strategy_name,pre_trade_nav,post_cost_investable_value,cash_before,cash_after,transaction_cost,transaction_cost_fraction,buy_notional,sell_notional,traded_notional,two_way_turnover,one_way_turnover,holdings_before,holdings_after,maximum_target_weight,maximum_sector_target_weight
2023-07-31,2023-08-01,momentum_3m_top20_equal_weight,1807543.5356816207,1806599.6986283208,2.044998836936429e-09,3.5906850825995207e-09,943.8370532958252,0.0005221655991482973,471446.6081212637,472390.44517456146,943837.0532958251,0.5221655991482973,0.26134388237372336,20,20,0.05,0.15000000000000002
2023-07-31,2023-08-01,ridge_top20_equal_weight,2398604.3728344985,2397556.6148530385,-2.944489096989855e-10,2.4579094315413386e-10,1047.7579814593644,0.00043681984129012455,523355.111738952,524402.8697204122,1047757.9814593643,0.4368198412901245,0.21862833056570746,20,20,0.05,0.15000000000000002
2023-07-31,2023-08-01,universe_equal_weight,1850577.2657758105,1850501.5510974359,-7.436824489559513e-10,6.056197321413492e-09,75.71467836829574,4.09140865223772e-05,37819.48184496042,37895.196523335304,75714.67836829573,0.0409140865223772,0.020477500304451564,50,50,0.02,0.16
2023-08-31,2023-09-01,elastic_net_score_weighted,2262940.4190975567,2262003.969839434,1.5536443243036047e-09,2.609908733575139e-09,936.4492581199833,0.0004138196702913778,467756.4044309311,468692.8536890523,936449.2581199832,0.4138196702913778,0.20711674498083488,25,25,0.05,0.16229306523981185
2023-08-31,2023-09-01,elastic_net_top20_equal_weight,2347451.255689663,2346184.3063091133,-4.0147369873011485e-09,-3.693003236548975e-09,1266.9493805532952,0.0005397127533457879,632841.2155863708,634108.1649669243,1266949.3805532951,0.5397127533457879,0.2701262330495669,20,20,0.05,0.15000000000000002
2023-08-31,2023-09-01,momentum_3m_top20_equal_weight,1804820.266012437,1803524.1156574767,3.5906850825995207e-09,7.726612238911912e-09,1296.1503549522754,0.0007181603505683062,647427.1022986594,648723.2526536157,1296150.3549522753,0.7181603505683062,0.3594392554594383,20,20,0.05,0.2
2023-08-31,2023-09-01,ridge_top20_equal_weight,2384523.9644876737,2383459.432712866,2.4579094315413386e-10,6.5710992203094065e-09,1064.5317748011503,0.00044643366586163453,531733.6215131716,532798.1532879787,1064531.7748011502,0.4464336658616345,0.22344004976374937,20,20,0.05,0.15000000000000002
2023-08-31,2023-09-01,universe_equal_weight,1830313.237147241,1830237.0641918988,6.056197321413492e-09,5.370736744225724e-09,76.17295533696489,4.1617442190217356e-05,38048.39119081446,38124.564146150435,76172.9553369649,0.04161744219021736,0.020829529816203517,50,50,0.02,0.16
2023-09-29,2023-10-02,elastic_net_score_weighted,2144414.332285005,2143464.005492651,2.609908733575139e-09,2.03522176889237e-09,950.3267923526603,0.00044316379444266665,474688.23278015427,475638.55957250594,950326.7923526602,0.4431637944426666,0.22180347911855441,25,25,0.05,0.15000000000000002
2023-09-29,2023-10-02,elastic_net_top20_equal_weight,2216560.600119426,2215599.3657701733,-3.693003236548975e-09,7.591893336211797e-09,961.2343492445985,0.0004336603065094671,480136.5574476711,481097.7917969275,961234.3492445985,0.4336603065094671,0.21704698340799095,20,20,0.05,0.15000000000000002
