as_of_date,sector,portfolio_weight,universe_equal_weight,active_weight,positions,component_risk,risk_contribution_share
2020-12-31,Real Estate,0.05,0.02,0.030000000000000002,1,0.017780761692134994,0.04587427150107726
2020-12-31,Utilities,0.05,0.04,0.010000000000000002,1,0.0160218033431191,0.04133616822637143
2021-01-29,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.06000746208382832,0.16451536549239143
2021-01-29,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.06865088796462283,0.18821202451621172
2021-01-29,Health Care,0.15000000000000002,0.14,0.010000000000000009,3,0.036279183088261543,0.09946234781922575
2021-01-29,Information Technology,0.15000000000000002,0.16,-0.009999999999999981,3,0.059238995974926566,0.16240855279969868
2021-01-29,Communication Services,0.1,0.08,0.020000000000000004,2,0.029342985528432064,0.08044619487663524
2021-01-29,Consumer Staples,0.05,0.1,-0.05,1,0.013599038067140454,0.03728287516701165
2021-01-29,Energy,0.05,0.06,-0.009999999999999995,1,0.02413294036565497,0.06616242991772471
2021-01-29,Industrials,0.05,0.1,-0.05,1,0.021172779737843705,0.058046907436199884
2021-01-29,Materials,0.05,0.04,0.010000000000000002,1,0.017455485664893508,0.04785564168662052
2021-01-29,Real Estate,0.05,0.02,0.030000000000000002,1,0.018294094401690778,0.050154756130863884
2021-01-29,Utilities,0.05,0.04,0.010000000000000002,1,0.016579080103932338,0.04545290415741667
2021-02-26,Information Technology,0.2,0.16,0.04000000000000001,4,0.08174862604933184,0.2327755479619913
2021-02-26,Communication Services,0.15000000000000002,0.08,0.07000000000000002,3,0.04646918842401945,0.13231893086768964
2021-02-26,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.06377815810294751,0.18160544608372
2021-02-26,Consumer Discretionary,0.1,0.12,-0.01999999999999999,2,0.043805998416393835,0.1247356167092614
2021-02-26,Consumer Staples,0.1,0.1,0.0,2,0.01801832142124672,0.05130636250271599
2021-02-26,Health Care,0.1,0.14,-0.04000000000000001,2,0.02272388810006657,0.06470525267455798
2021-02-26,Energy,0.05,0.06,-0.009999999999999995,1,0.022899827500713992,0.06520623223070482
2021-02-26,Industrials,0.05,0.1,-0.05,1,0.019873681033972433,0.05658941582593825
2021-02-26,Materials,0.05,0.04,0.010000000000000002,1,0.01661202861393035,0.047302006776657274
2021-02-26,Utilities,0.05,0.04,0.010000000000000002,1,0.015261061459418707,0.043455188366763396
2021-03-31,Information Technology,0.25,0.16,0.09,5,0.06821292939782791,0.28418383187383645
2021-03-31,Financials,0.2,0.14,0.06,4,0.04754922776992075,0.19809619480626195
2021-03-31,Energy,0.1,0.06,0.04000000000000001,2,0.03291786065401027,0.1371400387042095
2021-03-31,Health Care,0.1,0.14,-0.04000000000000001,2,0.014346159392184771,0.05976794406477604
2021-03-31,Communication Services,0.05,0.08,-0.03,1,0.008032445356998371,0.03346419983748257
2021-03-31,Consumer Discretionary,0.05,0.12,-0.06999999999999999,1,0.02082783000882535,0.08677141699933125
2021-03-31,Consumer Staples,0.05,0.1,-0.05,1,0.005340277279024543,0.022248281576810636
2021-03-31,Industrials,0.05,0.1,-0.05,1,0.01401215266236875,0.058376429095565695
2021-03-31,Materials,0.05,0.04,0.010000000000000002,1,0.009785757985759744,0.040768725617459735
2021-03-31,Real Estate,0.05,0.02,0.030000000000000002,1,0.010335289409786829,0.04305814416602123
2021-03-31,Utilities,0.05,0.04,0.010000000000000002,1,0.008671070256839117,0.03612479325824493
2021-04-30,Health Care,0.2,0.14,0.06,4,0.02432857935663385,0.12169109063021896
2021-04-30,Information Technology,0.2,0.16,0.04000000000000001,4,0.04768106867526235,0.23849979747892158
2021-04-30,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.03408320961750724,0.17048356542865137
2021-04-30,Communication Services,0.1,0.08,0.020000000000000004,2,0.01737574322722963,0.0869131367202354
2021-04-30,Energy,0.1,0.06,0.04000000000000001,2,0.030402497682998877,0.15207271442744602
2021-04-30,Financials,0.1,0.14,-0.04000000000000001,2,0.022707996349105412,0.1135849652888245
2021-04-30,Industrials,0.05,0.1,-0.05,1,0.009214823626073272,0.04609237229119979
2021-04-30,Materials,0.05,0.04,0.010000000000000002,1,0.007989473461829258,0.03996319410512902
2021-04-30,Utilities,0.05,0.04,0.010000000000000002,1,0.006137401141460653,0.030699163629373367
2021-05-28,Communication Services,0.2,0.08,0.12000000000000001,4,0.04067064805746324,0.20714189402955646
2021-05-28,Information Technology,0.2,0.16,0.04000000000000001,4,0.0535155757467687,0.2725630952475974
2021-05-28,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.04035349716166489,0.20552659551855118
2021-05-28,Consumer Staples,0.1,0.1,0.0,2,0.009688348638615979,0.04934425643245488
2021-05-28,Financials,0.1,0.14,-0.04000000000000001,2,0.014197484241292259,0.07230998070256694
2021-05-28,Health Care,0.1,0.14,-0.04000000000000001,2,0.013281448774855176,0.06764447054772678
2021-05-28,Energy,0.05,0.06,-0.009999999999999995,1,0.009548164927778479,0.0486302791352664
2021-05-28,Industrials,0.05,0.1,-0.05,1,0.007784154057998954,0.0396458992419688
2021-05-28,Real Estate,0.05,0.02,0.030000000000000002,1,0.007302650875768421,0.03719352914431089
2021-06-30,Information Technology,0.30000000000000004,0.16,0.14000000000000004,6,0.0628588276259938,0.37048131607388174
2021-06-30,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.03536688931224735,0.20844759905166216
2021-06-30,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.020513461913157144,0.12090353342312679
2021-06-30,Communication Services,0.1,0.08,0.020000000000000004,2,0.01587108818182413,0.09354201882529739
2021-06-30,Consumer Staples,0.05,0.1,-0.05,1,0.004775363201387944,0.02814533630992167
2021-06-30,Energy,0.05,0.06,-0.009999999999999995,1,0.01069180692958111,0.06301604487515182
2021-06-30,Health Care,0.05,0.14,-0.09000000000000001,1,0.004417011759533141,0.026033262018856786
2021-06-30,Industrials,0.05,0.1,-0.05,1,0.006704330670940094,0.0395144062365116
2021-06-30,Real Estate,0.05,0.02,0.030000000000000002,1,0.0055499414711858664,0.03271059448661563
2021-06-30,Utilities,0.05,0.04,0.010000000000000002,1,0.002919288895165758,0.017205888698974586
2021-07-30,Consumer Discretionary,0.2,0.12,0.08000000000000002,4,0.04031261571627821,0.25721308542952237
2021-07-30,Information Technology,0.2,0.16,0.04000000000000001,4,0.041961419423853785,0.2677332137158618
2021-07-30,Health Care,0.15000000000000002,0.14,0.010000000000000009,3,0.016002835647054493,0.10210547391342652
2021-07-30,Consumer Staples,0.1,0.1,0.0,2,0.009883626918814472,0.06306209929205897
2021-07-30,Financials,0.1,0.14,-0.04000000000000001,2,0.01204627815052866,0.07686081183237534
2021-07-30,Industrials,0.1,0.1,0.0,2,0.011674217579979364,0.07448689375196138
2021-07-30,Communication Services,0.05,0.08,-0.03,1,0.009299623759541227,0.059335889721475236
2021-07-30,Energy,0.05,0.06,-0.009999999999999995,1,0.009421053168142433,0.060110665366598814
2021-07-30,Real Estate,0.05,0.02,0.030000000000000002,1,0.006126808861348388,0.039091866976719444
2021-08-31,Information Technology,0.25,0.16,0.09,5,0.04529499307374493,0.2810342960235823
2021-08-31,Communication Services,0.15000000000000002,0.08,0.07000000000000002,3,0.025284781523990205,0.15688027072077354
2021-08-31,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.027789037799895677,0.17241801235186072
2021-08-31,Consumer Discretionary,0.1,0.12,-0.01999999999999999,2,0.011981184124348863,0.07433765671259245
2021-08-31,Health Care,0.1,0.14,-0.04000000000000001,2,0.009416867071126843,0.05842726598441181
2021-08-31,Industrials,0.1,0.1,0.0,2,0.0158200549899376,0.09815605910156475
2021-08-31,Energy,0.05,0.06,-0.009999999999999995,1,0.013211472164777242,0.08197101991424036
2021-08-31,Materials,0.05,0.04,0.010000000000000002,1,0.007071827944404487,0.04387739246852023
2021-08-31,Real Estate,0.05,0.02,0.030000000000000002,1,0.005302256392253277,0.032898026722454204
2021-09-30,Information Technology,0.25,0.16,0.09,5,0.04300780175128706,0.27689579055600666
2021-09-30,Financials,0.2,0.14,0.06,4,0.03394992713706445,0.21857875853082775
2021-09-30,Communication Services,0.15000000000000002,0.08,0.07000000000000002,3,0.023623965808469517,0.15209744330651542
