strategy_name,as_of_date,constraint_set,holdings,weight_sum,minimum_weight,maximum_weight,maximum_sector_weight,top_ten_concentration,weight_sum_ok,long_only_ok,asset_cap_ok,sector_cap_required,sector_cap_ok,constraints_pass
ridge_top20_equal_weight,2021-11-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2021-11-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2021-12-31,active_long_only,25,1.0,0.0,0.05,0.17178205653309303,0.49637679003259816,True,True,True,True,True,True
elastic_net_top20_equal_weight,2021-12-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2021-12-31,active_long_only,20,1.0000000000000002,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2021-12-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2021-12-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-01-31,active_long_only,25,1.0,0.0,0.05,0.16713117967878677,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-01-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-01-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-01-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2022-01-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-02-28,active_long_only,25,1.0,0.0,0.05,0.1715662078925486,0.4999999999999999,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-02-28,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-02-28,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-02-28,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2022-02-28,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-03-31,active_long_only,25,1.0,0.0,0.05,0.16634243940624413,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-03-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-03-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-03-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2022-03-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2022-04-29,active_long_only,25,1.0,0.0,0.05,0.16805214023116397,0.49607637366880286,True,True,True,True,True,True
elastic_net_top20_equal_weight,2022-04-29,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2022-04-29,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2022-04-29,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2022-04-29,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
