signal,as_of_date,quintile,observations,mean_target_21d_excess,median_target_21d_excess,mean_target_21d
dollar_volume_change_20d_60d_sector_neutral,2018-12-31,3,10,-0.004112852373986653,-0.0076190340405986046,0.06438507488756082
dollar_volume_change_20d_60d_sector_neutral,2018-12-31,4,10,0.015890421781690534,0.0014423108425438702,0.084388349043238
dollar_volume_change_20d_60d_sector_neutral,2018-12-31,5,10,-0.006646956507858515,-0.01409545301281001,0.06185097075368895
dollar_volume_change_20d_60d_sector_neutral,2019-01-31,1,10,0.0058654073757835375,0.0025558245091201748,0.04506591089609167
dollar_volume_change_20d_60d_sector_neutral,2019-01-31,2,10,-0.01396844598164083,-0.006865567973049824,0.025232057538667297
dollar_volume_change_20d_60d_sector_neutral,2019-01-31,3,10,-0.008524449822374835,-0.007445150939552225,0.030676053697933293
dollar_volume_change_20d_60d_sector_neutral,2019-01-31,4,10,0.00807815944832806,0.005695098871918658,0.047278662968636184
dollar_volume_change_20d_60d_sector_neutral,2019-01-31,5,10,-0.008528431846341045,-0.0024922974199015346,0.030672071673967082
dollar_volume_change_20d_60d_sector_neutral,2019-02-28,1,10,0.012541935404562365,-0.0022412410692377316,0.04262958686864391
dollar_volume_change_20d_60d_sector_neutral,2019-02-28,2,10,-0.007468995035963854,-0.000227307636593177,0.022618656428117688
dollar_volume_change_20d_60d_sector_neutral,2019-02-28,3,10,-0.02886058225486373,-0.011459122823420986,0.0012270692092178127
dollar_volume_change_20d_60d_sector_neutral,2019-02-28,4,10,-0.006758942916603805,-0.003076233425247654,0.02332870854747774
dollar_volume_change_20d_60d_sector_neutral,2019-02-28,5,10,0.016099000037839928,0.00846186680975669,0.04618665150192147
dollar_volume_change_20d_60d_sector_neutral,2019-03-29,1,10,0.0268844072313562,-0.016508084716827964,0.06981020641998247
dollar_volume_change_20d_60d_sector_neutral,2019-03-29,2,10,0.015073450789409337,0.007496184481383672,0.05799924997803561
dollar_volume_change_20d_60d_sector_neutral,2019-03-29,3,10,0.003264461662552487,0.01584742929723748,0.046190260851178756
dollar_volume_change_20d_60d_sector_neutral,2019-03-29,4,10,-0.019405098002253596,-0.0025350799789986,0.023520701186372672
dollar_volume_change_20d_60d_sector_neutral,2019-03-29,5,10,0.005838703916169951,0.0010076214666255856,0.04876450310479622
dollar_volume_change_20d_60d_sector_neutral,2019-04-30,1,10,-0.024386096884722874,-0.012881452684413763,-0.07646752292054643
dollar_volume_change_20d_60d_sector_neutral,2019-04-30,2,10,-0.006037810946490796,0.00775647088447351,-0.058119236982314346
dollar_volume_change_20d_60d_sector_neutral,2019-04-30,3,10,0.0021149438163155622,0.003373166274687478,-0.04996648221950799
dollar_volume_change_20d_60d_sector_neutral,2019-04-30,4,10,0.000874016357422247,0.0166836918863712,-0.0512074096784013
dollar_volume_change_20d_60d_sector_neutral,2019-04-30,5,10,-0.014777425709941661,0.013431688306737188,-0.06685885174576521
dollar_volume_change_20d_60d_sector_neutral,2019-05-31,1,10,0.006259775441829929,-0.0017026247508079573,0.09526205739917543
dollar_volume_change_20d_60d_sector_neutral,2019-05-31,2,10,-0.013241685975761374,-0.023336687321084737,0.07576059598158412
dollar_volume_change_20d_60d_sector_neutral,2019-05-31,3,10,-0.007658289350442415,-0.011377740402127245,0.08134399260690309
dollar_volume_change_20d_60d_sector_neutral,2019-05-31,4,10,0.021042996984171936,0.01592888565261541,0.11004527894151743
dollar_volume_change_20d_60d_sector_neutral,2019-05-31,5,10,-0.008074871516540872,-0.00019192003791612677,0.08092741044080462
dollar_volume_change_20d_60d_sector_neutral,2019-06-28,1,10,0.010487852774410455,0.013716022271572315,0.04658337959206528
dollar_volume_change_20d_60d_sector_neutral,2019-06-28,2,10,-0.03226024064942181,-0.027697108164998818,0.00383528616823301
dollar_volume_change_20d_60d_sector_neutral,2019-06-28,3,10,0.011586335921682057,-0.004722862278761952,0.047681862739336875
dollar_volume_change_20d_60d_sector_neutral,2019-06-28,4,10,-0.013141779741610838,-0.0035632117259856155,0.022953747076043984
dollar_volume_change_20d_60d_sector_neutral,2019-06-28,5,10,-0.010431577208437792,0.002641866258916492,0.02566394960921703
dollar_volume_change_20d_60d_sector_neutral,2019-07-31,1,10,-0.001403685869936011,-0.009626031189361839,-0.012590848162976686
dollar_volume_change_20d_60d_sector_neutral,2019-07-31,2,10,0.0053963319799238295,0.001981636197621761,-0.005790830313116846
dollar_volume_change_20d_60d_sector_neutral,2019-07-31,3,10,-0.0014046691839712522,-0.006241532289249452,-0.012591831477011928
dollar_volume_change_20d_60d_sector_neutral,2019-07-31,4,10,-0.0074315080278752,-0.01097836385755474,-0.018618670320915874
