factor_1,factor_2,dates_evaluated,mean_spearman,median_spearman,mean_abs_spearman,max_abs_spearman,same_sign_ratio
operating_margin,revenue_growth_yoy,139,0.04563003191775549,0.0007113218781464021,0.1620042089324905,0.4894225813348916,0.5035971223021583
current_ratio,accruals,151,-0.0438225264015332,-0.011352441725677943,0.12642492147319018,0.44460008840717485,0.543046357615894
book_to_market,revenue_growth_yoy,139,-0.04340559402995236,-0.09121484723235271,0.1545698864826876,0.48033773164215043,0.6546762589928058
debt_to_assets,net_income_growth_yoy,139,-0.04274703390176475,-0.02847925259585236,0.10713638789346462,0.3969295830546923,0.6402877697841727
gross_margin,net_income_growth_yoy,139,0.04057179165459084,0.02407826114280683,0.18527679831746216,0.4645416499612887,0.5539568345323741
fcf_yield,interest_coverage,151,0.03896406913903079,0.05565217391304348,0.11756444006576364,0.424901185770751,0.6291390728476821
cash_conversion,net_debt_to_assets,151,0.03863006512847911,-0.010378510378510378,0.1967370863915506,0.6094728800611153,0.5231788079470199
cash_conversion,revenue_growth_acceleration,127,0.038459776674063674,0.08063436128355489,0.18197467478469576,0.5484430568690103,0.6141732283464567
sales_yield,asset_growth_yoy,139,-0.037598537963447094,-0.019659997687059096,0.1684601265540712,0.5417774950850006,0.5323741007194245
gross_profitability,current_ratio,151,0.03627039417122843,0.014116318464144552,0.12050765008400906,0.5298245614035088,0.5364238410596026
gross_profitability,cash_conversion,151,-0.036133377075272526,-0.04656862745098039,0.18301109360996415,0.6239412761151891,0.543046357615894
sales_yield,revenue_growth_yoy,139,0.03570709695724689,0.060777794069916284,0.15408346535123324,0.45567314669808867,0.6618705035971223
debt_to_assets,revenue_growth_acceleration,127,0.03478173964133138,0.04504504504504504,0.11896292877354553,0.3699507389162562,0.6141732283464567
net_debt_to_assets,operating_cash_flow_growth_acceleration,127,0.03470954939705619,0.03393541324575807,0.11383615479367926,0.42337662337662335,0.5590551181102362
roe,operating_cash_flow_growth_acceleration,127,0.03453485980457061,0.043496318701950164,0.16840038875174546,0.46181632002982004,0.5826771653543307
fcf_yield,operating_margin,151,-0.03442883674101683,0.0,0.1252573562584401,0.43328445747800587,0.5099337748344371
