as_of_date,positions,portfolio_value,predicted_volatility,predicted_variance,portfolio_beta_vs_spy,maximum_weight,minimum_weight,concentration_hhi,effective_positions,maximum_sector_weight,maximum_active_sector_weight,maximum_position_adv_fraction,weighted_position_adv_fraction,maximum_liquidation_days,weighted_liquidation_days,risk_contribution_sum,method
2023-10-31,25,1000000.0,0.1606255479703947,0.025800566660789566,1.028597854082997,0.05000000000000001,0.02728501228501229,0.04137582508798726,24.168702324931576,0.2077764127764128,0.05271498771498771,0.0001598399841217836,5.287629198824598e-05,0.0015983998412178362,0.0005287629198824596,0.1606255479703947,score_weighted
2023-11-30,25,1000000.0,0.15521180183814282,0.024090703429842913,1.067872109272251,0.05000000000000002,0.026280761492029098,0.04142675035126168,24.138992113088698,0.2443584584429655,0.0843584584429655,0.000133341491936261,4.854862012499878e-05,0.00133341491936261,0.00048548620124998774,0.15521180183814284,score_weighted
2023-12-29,25,1000000.0,0.14624082284967965,0.021386378267751385,1.0684319190309421,0.05000000000000001,0.02728501228501229,0.04137582508798725,24.168702324931584,0.2077886977886978,0.04778869778869779,0.00011722083833512255,4.711040656237022e-05,0.0011722083833512254,0.00047110406562370213,0.14624082284967962,score_weighted
2024-01-31,25,1000000.0,0.14118861899621518,0.019934226134058413,1.073305624849201,0.05000000000000001,0.02728501228501229,0.041375825087987254,24.16870232493158,0.23614250614250615,0.07614250614250614,0.00011491196119441867,4.5441464012731546e-05,0.0011491196119441866,0.0004544146401273155,0.14118861899621518,score_weighted
2024-02-29,25,1000000.0,0.13981966892872785,0.019549539819339067,1.0904805410191725,0.05000000000000002,0.026280761492029098,0.04142675035126167,24.1389921130887,0.247376567094877,0.08737656709487698,0.00012719493962691598,4.5757125381598424e-05,0.0012719493962691595,0.0004575712538159841,0.13981966892872788,score_weighted
2024-03-28,25,1000000.0,0.13156033414705687,0.017308121520885258,1.1136108011101538,0.05000000000000001,0.02728501228501229,0.04137582508798726,24.168702324931576,0.20130221130221132,0.04130221130221132,0.00011277672404053176,4.124517253621972e-05,0.0011277672404053176,0.0004124517253621973,0.13156033414705684,score_weighted
2024-04-30,25,1000000.0,0.1331000765200483,0.017715630369642712,1.1155048123852946,0.05000000000000001,0.02728501228501229,0.04137582508798726,24.168702324931576,0.18915233415233418,0.0564987714987715,0.00011289842658054006,3.9539501992892454e-05,0.0011289842658054005,0.00039539501992892455,0.13310007652004832,score_weighted
2024-05-31,25,1000000.0,0.12564178375853366,0.015785857826026133,1.0470520365325346,0.05000000000000001,0.02728501228501229,0.041375825087987254,24.16870232493158,0.19373464373464375,0.05325552825552826,0.00010820949076577916,4.06502423288884e-05,0.0010820949076577916,0.00040650242328888413,0.1256417837585337,score_weighted
2024-06-28,25,1000000.0,0.11543015669443851,0.01332412107450263,0.9822307473974745,0.05000000000000001,0.02728501228501229,0.041375825087987254,24.16870232493158,0.15130221130221133,0.0440909090909091,0.00010806406414200865,4.055536351654721e-05,0.0010806406414200866,0.00040555363516547193,0.11543015669443854,score_weighted
2024-07-31,25,1000000.0,0.12030648277325964,0.014473649797272618,0.9921233257393453,0.05000000000000001,0.02728501228501229,0.04137582508798726,24.168702324931576,0.18482800982800984,0.028955773955773978,0.00011475123502360087,3.671953958875464e-05,0.0011475123502360084,0.0003671953958875464,0.12030648277325962,score_weighted
