regime,strategy_name,start_date,end_date,trading_days,initial_capital,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,positive_day_ratio,beta_vs_spy,annualized_alpha_vs_spy,correlation_vs_spy,tracking_error_vs_spy,information_ratio_vs_spy,benchmark_total_return,excess_total_return,benchmark_cagr,excess_cagr,total_transaction_cost,total_traded_notional,total_two_way_turnover,mean_rebalance_two_way_turnover,window_start,window_end,short_sample_warning
pre_covid_available,alpha_risk_turnover,2020-02-03,2020-02-18,11,1000000.0,1065224.283885548,0.0652242838855479,3.2525526899476356,0.14693194457160558,9.945820970271077,77.75973803544562,-0.0035409045842539344,918.56547177561,0.7272727272727273,1.0809519296187071,0.4632885231487563,0.71213627945794,0.10344949826440451,5.200928945511457,0.04085864726768729,0.02436563661786062,1.5028181010109467,1.7497345889366889,511.6787914729829,999488.3212085312,0.9994883212085311,0.9994883212085311,2020-02-03,2020-02-18,True
pre_covid_available,cvar,2020-02-03,2020-02-18,11,1000000.0,1055484.551709351,0.05548455170935096,2.445571606368485,0.11954661749422493,10.427462017473214,61.564292003864985,-0.003740895654110288,653.7395940679145,0.6363636363636364,1.172080083082701,0.16435658889564292,0.9490584276583297,0.041187736697304175,7.848027436248577,0.04085864726768729,0.014625904441663673,1.5028181010109467,0.9427535053575382,511.4379303115734,999488.5620696861,0.9994885620696862,0.9994885620696862,2020-02-03,2020-02-18,True
pre_covid_available,median_mad_de,2020-02-03,2020-02-18,11,1000000.0,1067728.736576073,0.06772873657607303,3.4875992227030794,0.1464165332109962,10.350014978920338,81.51613025994848,-0.0035080932529657494,994.1580714123422,0.7272727272727273,1.0095097833467022,0.5833073624894055,0.6674110134229126,0.10903874936740529,5.4300694911618805,0.04085864726768729,0.026870089308385747,1.5028181010109467,1.9847811216921327,510.22608136444455,999489.7739186401,0.9994897739186401,0.9994897739186401,2020-02-03,2020-02-18,True
pre_covid_available,score_weighted,2020-02-03,2020-02-18,11,1000000.0,1072465.4879932858,0.07246548799328578,3.966544888289498,0.14400025037538824,11.230053554200026,60.680538752981484,-0.005567903743814218,712.3946588868776,0.9090909090909091,1.18163785803154,0.5260943635243779,0.7943174545404577,0.0892299988692883,7.775470208726142,0.04085864726768729,0.031606840725598495,1.5028181010109467,2.463726787278551,511.14463963529124,999488.8553603687,0.9994888553603687,0.9994888553603687,2020-02-03,2020-02-18,True
pre_covid_available,top_n_equal_weight,2020-02-03,2020-02-18,11,1000000.0,1069627.3057706708,0.06962730577067067,3.6740092682816066,0.13697570097998216,11.35359119729891,54.58819070480973,-0.005952153963153517,617.2570956708041,0.9090909090909091,1.16784894660684,0.47686160401162286,0.8253080822035214,0.07903588558814825,7.994353230653442,0.04085864726768729,0.02876865850298338,1.5028181010109467,2.17119116727066,510.52495158750077,999489.4750484207,0.9994894750484207,0.9994894750484207,2020-02-03,2020-02-18,True
recent_2025_2026,alpha_risk_turnover,2025-01-02,2026-06-30,373,1000000.0,1289799.030278207,0.28979903027820697,0.1875968852851433,0.17711647740329953,1.0588780037433971,1.5908193531185262,-0.20378018092018213,0.9205845457494337,0.5522788203753352,0.9032047915687028,0.01497507968058278,0.9127920721478492,0.07438468364080317,-0.04730775485386545,0.2959912345594242,-0.006192204281217251,0.1914458717766636,-0.003848986491520323,13429.627034211218,25991325.484983765,8.822993890489283,0.49016632724940457,2025-01-02,2026-06-30,False
recent_2025_2026,cvar,2025-01-02,2026-06-30,373,1000000.0,1277253.528770465,0.27725352877046494,0.17978034947897492,0.18524676278709945,0.984674467258412,1.4607586389739884,-0.21341238726299694,0.8424082209315439,0.5495978552278821,0.9617378191155005,-0.0013454425418052969,0.9292887076048973,0.06876358048596184,-0.12587996264191467,0.2959912345594242,-0.01873770578895928,0.1914458717766636,-0.01166552229768869,9930.12785488012,19231483.601656947,6.855297698399834,0.38084987213332405,2025-01-02,2026-06-30,False
recent_2025_2026,median_mad_de,2025-01-02,2026-06-30,373,1000000.0,1347983.0650714836,0.3479830650714837,0.2235316900308595,0.18525419672582277,1.181342889968149,1.7622980749768347,-0.20533515879898745,1.0886186824424233,0.579088471849866,0.9768798879628066,0.03220242822058516,0.9438820039150384,0.06132607873519138,0.45307011813617903,0.2959912345594242,0.05199183051205947,0.1914458717766636,0.032085818254195875,14512.733761359244,28088127.86353965,9.3187290858279,0.5177071714348833,2025-01-02,2026-06-30,False
recent_2025_2026,score_weighted,2025-01-02,2026-06-30,373,1000000.0,1326774.103963046,0.32677410396304607,0.21049232178967614,0.18730079612611222,1.113203499706444,1.6557246218770625,-0.20727210098291193,1.0155361999588632,0.5710455764075067,0.9843257747719516,0.020434963036397056,0.9406841504468425,0.06360998334344305,0.2741737448632625,0.2959912345594242,0.03078286940362185,0.1914458717766636,0.019046450013012528,14718.979284255794,28590863.980266415,8.315524485409133,0.46197358252272963,2025-01-02,2026-06-30,False
recent_2025_2026,top_n_equal_weight,2025-01-02,2026-06-30,373,1000000.0,1308535.1419755889,0.30853514197558884,0.19922475693781516,0.18057351711230005,1.0960865468007457,1.6301990765320689,-0.20387767208643648,0.9771779072175758,0.5683646112600537,0.9522686726173621,0.015980213116894026,0.943952265060758,0.060213289451958335,0.1139364495163526,0.2959912345594242,0.012543907416164624,0.1914458717766636,0.00777888516115155,13052.141138642959,25283262.561086755,7.726766159295677,0.4292647866275376,2025-01-02,2026-06-30,False
