as_of_date,sector,companies,mean_percentile_score,top_group_companies,top_group_share
2022-01-31,Industrials,5,0.3673469387755103,0,0.0
2022-01-31,Information Technology,8,0.5943877551020408,2,0.2
2022-01-31,Materials,2,0.47959183673469385,0,0.0
2022-01-31,Real Estate,1,0.8775510204081632,1,0.1
2022-01-31,Utilities,2,0.41836734693877553,0,0.0
2022-02-28,Communication Services,4,0.4744897959183674,2,0.2
2022-02-28,Consumer Discretionary,6,0.5510204081632654,2,0.2
2022-02-28,Consumer Staples,5,0.3469387755102041,0,0.0
2022-02-28,Energy,3,0.46258503401360535,1,0.1
2022-02-28,Financials,7,0.5247813411078717,0,0.0
2022-02-28,Health Care,7,0.5364431486880467,2,0.2
2022-02-28,Industrials,5,0.4448979591836736,0,0.0
2022-02-28,Information Technology,8,0.6122448979591837,2,0.2
2022-02-28,Materials,2,0.3979591836734694,0,0.0
2022-02-28,Real Estate,1,0.9795918367346939,1,0.1
2022-02-28,Utilities,2,0.17346938775510204,0,0.0
2022-03-31,Communication Services,4,0.4846938775510204,1,0.1
2022-03-31,Consumer Discretionary,6,0.5374149659863946,1,0.1
2022-03-31,Consumer Staples,5,0.3387755102040816,0,0.0
2022-03-31,Energy,3,0.5374149659863946,1,0.1
2022-03-31,Financials,7,0.478134110787172,1,0.1
2022-03-31,Health Care,7,0.47813411078717205,2,0.2
2022-03-31,Industrials,5,0.5306122448979591,1,0.1
2022-03-31,Information Technology,8,0.6352040816326531,3,0.3
2022-03-31,Materials,2,0.29591836734693877,0,0.0
2022-03-31,Real Estate,1,0.7959183673469388,0,0.0
2022-03-31,Utilities,2,0.35714285714285715,0,0.0
2022-04-29,Communication Services,4,0.45408163265306123,1,0.1
2022-04-29,Consumer Discretionary,6,0.5306122448979592,2,0.2
2022-04-29,Consumer Staples,5,0.31428571428571433,0,0.0
2022-04-29,Energy,3,0.5306122448979592,1,0.1
2022-04-29,Financials,7,0.5131195335276967,1,0.1
2022-04-29,Health Care,7,0.5597667638483965,3,0.3
2022-04-29,Industrials,5,0.4530612244897959,0,0.0
2022-04-29,Information Technology,8,0.6096938775510204,2,0.2
2022-04-29,Materials,2,0.326530612244898,0,0.0
2022-04-29,Real Estate,1,0.7346938775510204,0,0.0
2022-04-29,Utilities,2,0.3979591836734694,0,0.0
2022-05-31,Communication Services,4,0.4744897959183673,1,0.1
2022-05-31,Consumer Discretionary,6,0.49319727891156456,2,0.2
2022-05-31,Consumer Staples,5,0.3755102040816326,1,0.1
2022-05-31,Energy,3,0.6054421768707483,1,0.1
2022-05-31,Financials,7,0.45189504373177847,0,0.0
2022-05-31,Health Care,7,0.47813411078717205,1,0.1
2022-05-31,Industrials,5,0.4244897959183673,0,0.0
2022-05-31,Information Technology,8,0.6045918367346939,3,0.3
2022-05-31,Materials,2,0.5204081632653061,0,0.0
2022-05-31,Real Estate,1,0.9795918367346939,1,0.1
2022-05-31,Utilities,2,0.47959183673469385,0,0.0
2022-06-30,Communication Services,4,0.4693877551020408,2,0.2
