model_name,from_date,to_date,valid_transition,top_quintile_turnover,top_quintile_overlap_ratio,mean_absolute_percentile_change
momentum_3m,2022-07-29,2022-08-31,True,0.49999999999999994,0.5,0.19839999999999997
ridge,2022-07-29,2022-08-31,True,0.39999999999999997,0.6,0.24960000000000002
constant,2022-08-31,2022-09-30,False,,,
elastic_net,2022-08-31,2022-09-30,True,0.3,0.7,0.1512
equal_weight_composite,2022-08-31,2022-09-30,True,0.3,0.7,0.15999999999999998
momentum_3m,2022-08-31,2022-09-30,True,0.7000000000000001,0.3,0.204
ridge,2022-08-31,2022-09-30,True,0.3,0.7,0.1552
constant,2022-09-30,2022-10-31,False,,,
elastic_net,2022-09-30,2022-10-31,True,0.39999999999999997,0.6,0.1472
equal_weight_composite,2022-09-30,2022-10-31,True,0.2,0.8,0.1416
momentum_3m,2022-09-30,2022-10-31,True,0.6,0.4,0.2192
ridge,2022-09-30,2022-10-31,True,0.39999999999999997,0.6,0.1544
constant,2022-10-31,2022-11-30,False,,,
elastic_net,2022-10-31,2022-11-30,True,0.3,0.7,0.1384
equal_weight_composite,2022-10-31,2022-11-30,True,0.49999999999999994,0.5,0.18720000000000003
momentum_3m,2022-10-31,2022-11-30,True,0.2,0.8,0.13360000000000002
ridge,2022-10-31,2022-11-30,True,0.3,0.7,0.14
constant,2022-11-30,2022-12-30,False,,,
elastic_net,2022-11-30,2022-12-30,True,0.2,0.8,0.1016
equal_weight_composite,2022-11-30,2022-12-30,True,0.3,0.7,0.1512
momentum_3m,2022-11-30,2022-12-30,True,0.39999999999999997,0.6,0.1304
ridge,2022-11-30,2022-12-30,True,0.3,0.7,0.16560000000000002
constant,2022-12-30,2023-01-31,False,,,
elastic_net,2022-12-30,2023-01-31,True,0.1,0.9,0.09759999999999998
equal_weight_composite,2022-12-30,2023-01-31,True,0.39999999999999997,0.6,0.21599999999999997
momentum_3m,2022-12-30,2023-01-31,True,0.7000000000000001,0.3,0.21600000000000003
ridge,2022-12-30,2023-01-31,True,0.39999999999999997,0.6,0.16479999999999997
constant,2023-01-31,2023-02-28,False,,,
elastic_net,2023-01-31,2023-02-28,True,0.2,0.8,0.0992
equal_weight_composite,2023-01-31,2023-02-28,True,0.49999999999999994,0.5,0.18
momentum_3m,2023-01-31,2023-02-28,True,0.39999999999999997,0.6,0.17679999999999998
ridge,2023-01-31,2023-02-28,True,0.3,0.7,0.1048
constant,2023-02-28,2023-03-31,False,,,
elastic_net,2023-02-28,2023-03-31,True,0.49999999999999994,0.5,0.21120000000000005
equal_weight_composite,2023-02-28,2023-03-31,True,0.49999999999999994,0.5,0.20079999999999998
momentum_3m,2023-02-28,2023-03-31,True,0.6,0.4,0.18719999999999998
ridge,2023-02-28,2023-03-31,True,0.49999999999999994,0.5,0.2112
constant,2023-03-31,2023-04-28,False,,,
elastic_net,2023-03-31,2023-04-28,True,0.3,0.7,0.13039999999999996
equal_weight_composite,2023-03-31,2023-04-28,True,0.2,0.8,0.12719999999999998
momentum_3m,2023-03-31,2023-04-28,True,0.8000000000000002,0.2,0.23759999999999998
ridge,2023-03-31,2023-04-28,True,0.3,0.7,0.1304
constant,2023-04-28,2023-05-31,False,,,
elastic_net,2023-04-28,2023-05-31,True,0.39999999999999997,0.6,0.15919999999999998
equal_weight_composite,2023-04-28,2023-05-31,True,0.39999999999999997,0.6,0.17359999999999995
momentum_3m,2023-04-28,2023-05-31,True,0.49999999999999994,0.5,0.1592
ridge,2023-04-28,2023-05-31,True,0.39999999999999997,0.6,0.15679999999999997
constant,2023-05-31,2023-06-30,False,,,
elastic_net,2023-05-31,2023-06-30,True,0.2,0.8,0.09760000000000002
equal_weight_composite,2023-05-31,2023-06-30,True,0.3,0.7,0.12399999999999999
momentum_3m,2023-05-31,2023-06-30,True,0.49999999999999994,0.5,0.1752
ridge,2023-05-31,2023-06-30,True,0.1,0.9,0.09360000000000002
constant,2023-06-30,2023-07-31,False,,,
elastic_net,2023-06-30,2023-07-31,True,0.2,0.8,0.1064
equal_weight_composite,2023-06-30,2023-07-31,True,0.39999999999999997,0.6,0.20400000000000001
momentum_3m,2023-06-30,2023-07-31,True,0.3,0.7,0.1488
