signal,sector,months,mean_ic,median_ic,preferred_direction,directional_mean_ic,directional_month_ratio
reversal_1m_sector_neutral,Consumer Staples,71,0.06901408450704224,0.09999999999999999,higher_is_better,0.06901408450704224,0.5492957746478874
reversal_1m_sector_neutral,Energy,71,0.11971830985915492,0.5,higher_is_better,0.11971830985915492,0.5774647887323944
reversal_1m_sector_neutral,Financials,71,0.006036217303822932,0.07142857142857144,higher_is_better,0.006036217303822932,0.5070422535211268
reversal_1m_sector_neutral,Health Care,71,0.04225352112676057,0.0,higher_is_better,0.04225352112676057,0.4788732394366197
reversal_1m_sector_neutral,Industrials,71,-0.014084507042253521,-0.09999999999999999,higher_is_better,-0.014084507042253521,0.43661971830985913
reversal_1m_sector_neutral,Information Technology,71,0.02213279678068411,-0.04761904761904763,higher_is_better,0.02213279678068411,0.4788732394366197
sma_50_200_spread_sector_neutral,Communication Services,63,-0.015873015873015883,0.0,higher_is_better,-0.015873015873015883,0.4603174603174603
sma_50_200_spread_sector_neutral,Consumer Discretionary,63,-0.10476190476190476,-0.08571428571428573,higher_is_better,-0.10476190476190476,0.3968253968253968
sma_50_200_spread_sector_neutral,Consumer Staples,63,-0.05555555555555555,-0.09999999999999999,higher_is_better,-0.05555555555555555,0.4603174603174603
sma_50_200_spread_sector_neutral,Energy,63,0.1111111111111111,0.5,higher_is_better,0.1111111111111111,0.5555555555555556
sma_50_200_spread_sector_neutral,Financials,63,0.01927437641723357,0.07142857142857144,higher_is_better,0.01927437641723357,0.5396825396825397
sma_50_200_spread_sector_neutral,Health Care,63,0.060090702947845825,0.07142857142857144,higher_is_better,0.060090702947845825,0.5555555555555556
sma_50_200_spread_sector_neutral,Industrials,63,-0.09999999999999999,-0.09999999999999999,higher_is_better,-0.09999999999999999,0.38095238095238093
sma_50_200_spread_sector_neutral,Information Technology,63,0.14814814814814817,0.2380952380952381,higher_is_better,0.14814814814814817,0.6349206349206349
volatility_20d_sector_neutral,Communication Services,72,0.11944444444444446,0.19999999999999998,higher_is_better,0.11944444444444446,0.5277777777777778
volatility_20d_sector_neutral,Consumer Discretionary,72,-0.042857142857142844,-0.028571428571428574,higher_is_better,-0.042857142857142844,0.4861111111111111
volatility_20d_sector_neutral,Consumer Staples,72,-0.012500000000000004,-0.09999999999999999,higher_is_better,-0.012500000000000004,0.4166666666666667
volatility_20d_sector_neutral,Energy,72,0.0,0.0,higher_is_better,0.0,0.5
volatility_20d_sector_neutral,Financials,72,-0.013392857142857147,0.03571428571428572,higher_is_better,-0.013392857142857147,0.5138888888888888
