date,strategy_name,portfolio_value,drawdown
2023-04-12,universe_equal_weight,1648691.7510608814,-0.04689457358243443
2023-04-13,elastic_net_score_weighted,1978237.156077245,-0.000740744359765455
2023-04-13,elastic_net_top20_equal_weight,2042412.4176999913,-0.0009423744642921283
2023-04-13,momentum_3m_top20_equal_weight,1617933.939027897,-0.11696754151164535
2023-04-13,ridge_top20_equal_weight,2065634.2743028533,0.0
2023-04-13,spy_buy_and_hold,1345138.0479191882,-0.11707641906084099
2023-04-13,universe_equal_weight,1670163.4496914484,-0.034481827254306374
2023-04-14,elastic_net_score_weighted,1977071.5474255066,-0.0013295237334244314
2023-04-14,elastic_net_top20_equal_weight,2040190.8358926012,-0.0020290738136448105
2023-04-14,momentum_3m_top20_equal_weight,1622172.054116973,-0.11465447229652526
2023-04-14,ridge_top20_equal_weight,2063387.4335155848,-0.00108772439304472
2023-04-14,spy_buy_and_hold,1341852.2586739946,-0.11923314997114831
2023-04-14,universe_equal_weight,1670248.705764175,-0.034432540888011176
2023-04-17,elastic_net_score_weighted,1987949.9346709568,0.0
2023-04-17,elastic_net_top20_equal_weight,2050981.641738948,0.0
2023-04-17,momentum_3m_top20_equal_weight,1628325.1136973312,-0.11129626885112776
2023-04-17,ridge_top20_equal_weight,2074300.9288558953,0.0
2023-04-17,spy_buy_and_hold,1346667.2649500056,-0.11607266946133254
2023-04-17,universe_equal_weight,1675903.9097168362,-0.0311632787161642
2023-04-18,elastic_net_score_weighted,1986924.6159196694,-0.0005157668879911537
2023-04-18,elastic_net_top20_equal_weight,2049111.0448318953,-0.0009120495615293489
2023-04-18,momentum_3m_top20_equal_weight,1628765.4059552732,-0.11105596710233234
2023-04-18,ridge_top20_equal_weight,2072409.0636032529,-0.0009120495615291269
2023-04-18,spy_buy_and_hold,1347545.5510571937,-0.1154961788059331
2023-04-18,universe_equal_weight,1676354.4146783666,-0.03090284269276178
2023-04-19,elastic_net_score_weighted,1994494.5951469722,0.0
2023-04-19,elastic_net_top20_equal_weight,2055752.685556273,0.0
2023-04-19,momentum_3m_top20_equal_weight,1631286.2256558696,-0.10968015962099542
2023-04-19,ridge_top20_equal_weight,2079126.2185710676,0.0
2023-04-19,spy_buy_and_hold,1347317.8855617372,-0.11564561420017805
2023-04-19,universe_equal_weight,1676144.3246489244,-0.031024295321470996
2023-04-20,elastic_net_score_weighted,1974726.082610618,-0.00991153978780146
2023-04-20,elastic_net_top20_equal_weight,2033788.708182298,-0.010684153560053145
2023-04-20,momentum_3m_top20_equal_weight,1619419.2085111025,-0.11615691437067521
2023-04-20,ridge_top20_equal_weight,2056912.5147811219,-0.010684153560053034
2023-04-20,spy_buy_and_hold,1339965.3554626736,-0.12047167812281434
2023-04-20,universe_equal_weight,1668710.377481553,-0.03532184541254413
2023-04-21,elastic_net_score_weighted,1978574.5134661258,-0.00798201294683043
2023-04-21,elastic_net_top20_equal_weight,2037201.9145921704,-0.009023833992503283
2023-04-21,momentum_3m_top20_equal_weight,1624269.2735086975,-0.11350985646840528
2023-04-21,ridge_top20_equal_weight,2060364.5287252213,-0.009023833992503172
2023-04-21,spy_buy_and_hold,1341006.3484414443,-0.11978838970496719
2023-04-21,universe_equal_weight,1672949.0413043888,-0.032871482276011665
2023-04-24,elastic_net_score_weighted,1983590.4014924935,-0.005467146253998911
2023-04-24,elastic_net_top20_equal_weight,2043429.112040376,-0.005994677084691369
2023-04-24,momentum_3m_top20_equal_weight,1629534.3004747552,-0.11063632152751712
2023-04-24,ridge_top20_equal_weight,2066662.5282724183,-0.00599467708469148
2023-04-24,spy_buy_and_hold,1342405.0276007187,-0.11887032273496223
2023-04-24,universe_equal_weight,1677744.8678823672,-0.03009902445744883
2023-04-25,elastic_net_score_weighted,1949536.8649343099,-0.022540913533711238
2023-04-25,elastic_net_top20_equal_weight,2008570.1650694362,-0.022951457545618892
2023-04-25,momentum_3m_top20_equal_weight,1597950.0910797175,-0.1278742824842347
2023-04-25,ridge_top20_equal_weight,2031407.2414335506,-0.022951457545618892
