as_of_date,optimizer_success,optimizer_message,objective_value,function_evaluations,iterations,seed,observation_count,median_daily_return,mad_daily,mad_limit,mad_violation,mad_penalty_value,turnover_l1,one_way_turnover,turnover_penalty,turnover_penalty_value,portfolio_beta_vs_spy,maximum_position_adv_fraction,positions,weight_sum,maximum_weight,maximum_sector_weight
2024-10-31,False,Maximum number of iterations has been exceeded.,-0.0021264038649659754,14935,80,744762155,252,0.0025017828141633424,0.007200787763018523,0.008,0.0,0.0,0.375378949197367,0.18768947459868351,0.001,0.00037537894919736697,1.1326424456028115,0.00011923775051589306,22,1.0,0.049999,0.23527451166010102
2024-11-29,False,Maximum number of iterations has been exceeded.,-0.0021891982344569975,14322,80,366642656,252,0.0026138032852596306,0.00701985078804154,0.008,0.0,0.0,0.4246050508026331,0.21230252540131658,0.001,0.00042460505080263314,1.142727846316907,0.00011078019969156962,21,1.0,0.049999,0.24999500000000002
2024-12-31,False,Maximum number of iterations has been exceeded.,-0.002100545424178887,16092,80,967509732,252,0.0024663131234599926,0.006895045163227715,0.008,0.0,0.0,0.36576769928110575,0.18288384964055288,0.001,0.00036576769928110575,1.0639893116620518,0.00013679702113930284,21,1.0,0.049999,0.199996
2025-01-31,False,Maximum number of iterations has been exceeded.,-0.002072241431675234,15492,80,905535765,252,0.0023788614394474744,0.006570751110066394,0.008,0.0,0.0,0.3066200077722403,0.15331000388612015,0.001,0.00030662000777224033,0.9829343851966019,0.00012355435962947293,21,1.0,0.049999,0.199996
2025-02-28,False,Maximum number of iterations has been exceeded.,-0.0017784184191835242,13723,80,370459705,252,0.0022146951348672155,0.007558168195057814,0.008,0.0,0.0,0.43627671568369125,0.21813835784184568,0.001,0.0004362767156836913,1.142855307455698,0.00012722787972306373,21,1.0,0.049999,0.24999500000000002
2025-03-31,False,Maximum number of iterations has been exceeded.,-0.0013168879960484164,15550,80,76343185,252,0.0018812219954795154,0.007145218330609342,0.008,0.0,0.0,0.5643339994310991,0.28216699971554954,0.001,0.0005643339994310991,0.9987348623484161,0.00010605901797275612,21,1.0,0.049999,0.199996
2025-04-30,False,Maximum number of iterations has been exceeded.,-0.0016461874132333934,16179,80,469555811,252,0.0020209936201926867,0.007909315223351523,0.008,0.0,0.0,0.3748062069592933,0.18740310347964667,0.001,0.0003748062069592933,1.0023425574627451,0.0001241384052616082,21,1.0,0.049999,0.2404036484831007
2025-05-30,False,Maximum number of iterations has been exceeded.,-0.0013031356175202263,16177,80,795679975,252,0.0017031276175202264,0.007981682046248452,0.008,0.0,0.0,0.399992,0.19999600000000003,0.001,0.000399992,0.9803969866197164,0.00014252664101170503,21,1.0,0.049999,0.199996
2025-06-30,False,Maximum number of iterations has been exceeded.,-0.0013163559199912264,16094,80,189471358,252,0.0018527870872462296,0.007932600870973987,0.008,0.0,0.0,0.5364311672550033,0.26821558362750164,0.001,0.0005364311672550033,0.968408438348519,0.00010109839084430969,22,1.0,0.049999,0.1817754163724984
2025-07-31,False,Maximum number of iterations has been exceeded.,-0.0005860214585336563,16032,80,462940571,252,0.001389633996780129,0.007928457653877794,0.008,0.0,0.0,0.8036125382464727,0.40180626912323636,0.001,0.0008036125382464728,0.949421697658957,0.00011708341042558347,22,1.0,0.049999,0.193781111593129
2025-08-29,False,Maximum number of iterations has been exceeded.,-0.0014598260440100172,15297,80,129921505,252,0.002155766968863578,0.007975224442588379,0.008,0.0,0.0,0.6959409248535606,0.34797046242678037,0.001,0.0006959409248535606,0.9984739488209642,0.0001729309826791668,21,1.0,0.049999,0.199996
2025-09-30,False,Maximum number of iterations has been exceeded.,-0.0017445726330776283,15035,80,686478210,252,0.002289340093675926,0.007962871044412461,0.008,0.0,0.0,0.5447674605982977,0.2723837302991489,0.001,0.0005447674605982977,1.007865708880192,0.0001848668237641957,22,1.0,0.049999,0.20675438124222828
2025-10-31,False,Maximum number of iterations has been exceeded.,-0.0017432153665992252,16198,80,330196333,252,0.0021277599643127138,0.007864832076566627,0.008,0.0,0.0,0.38454459771348853,0.19227229885674432,0.001,0.0003845445977134885,0.9582347486822812,0.00018075388305537467,22,1.0,0.049999,0.1667114508722365
2025-11-28,False,Maximum number of iterations has been exceeded.,-0.0017423533924678628,16187,80,226909348,252,0.0022456598276081,0.00782223749188642,0.008,0.0,0.0,0.5033064351402374,0.25165321757011877,0.001,0.0005033064351402375,0.9453558032806185,0.00015764014797955213,21,1.0,0.049999,0.171220087621109
2025-12-31,False,Maximum number of iterations has been exceeded.,-0.0016788412362514383,16197,80,564499893,252,0.0022001538180760056,0.007856942856541484,0.008,0.0,0.0,0.5213125818245674,0.2606562909122837,0.001,0.0005213125818245674,0.9890305808035456,0.00013239974150793739,21,1.0,0.049999,0.199996
2026-01-30,False,Maximum number of iterations has been exceeded.,-0.002089635643120198,16192,80,669813994,252,0.002300792087620779,0.00782080237767366,0.008,0.0,0.0,0.21115644450058102,0.10557822225029051,0.001,0.00021115644450058103,1.0082065770738329,0.00011970027722886044,21,1.0,0.049999,0.199996
2026-02-27,False,Maximum number of iterations has been exceeded.,-0.0021327335946409592,16170,80,940306095,252,0.0024819060341574337,0.007912191281872774,0.008,0.0,0.0,0.34917243951647436,0.1745862197582372,0.001,0.00034917243951647435,1.0123422237743178,0.0001137031442918503,21,1.0,0.049999,0.199996
2026-03-31,False,Maximum number of iterations has been exceeded.,-0.0015337886481493067,12883,80,437151918,252,0.0020337786481493068,0.0077319745979378095,0.008,0.0,0.0,0.49998999999999993,0.249995,0.001,0.00049999,1.0254084692155627,7.510200719360559e-05,21,1.0,0.049999,0.24999500000000002
2026-04-30,False,Maximum number of iterations has been exceeded.,-0.0015563679800862777,13111,80,160688162,252,0.001956399980086278,0.006459357405784721,0.008,0.0,0.0,0.4000320000000003,0.20001600000000014,0.001,0.0004000320000000003,1.0321311797779191,7.605772475411006e-05,21,1.0,0.049999,0.24999500000000002
2026-05-29,False,Maximum number of iterations has been exceeded.,-0.0022671652546615087,13515,80,629764301,252,0.002790452798574907,0.006570906746978999,0.008,0.0,0.0,0.5232875439133979,0.26164377195669897,0.001,0.0005232875439133979,1.03940113481036,0.00014103903462873296,21,1.0,0.049999,0.24999500000000002
