feature,mean_gain,mean_gain_share,median_gain_share,mean_split_count,folds_used
fund__operating_cash_flow_growth_yoy_missing,0.0005513688476828785,1.5612406000027365e-05,0.0,0.012987012987012988,1
fund__gross_margin_missing,0.0004334961148825559,1.3207207293617304e-05,0.0,0.012987012987012988,1
fund__revenue_growth_acceleration_missing,0.00030114286421955406,6.900988472743003e-06,0.0,0.012987012987012988,1
fund__book_to_market_missing,0.0,0.0,0.0,0.0,0
fund__asset_growth_yoy_missing,0.0,0.0,0.0,0.0,0
fund__cash_conversion_missing,0.0,0.0,0.0,0.0,0
fund__current_ratio_missing,0.0,0.0,0.0,0.0,0
fund__fcf_yield_missing,0.0,0.0,0.0,0.0,0
fund__earnings_yield_missing,0.0,0.0,0.0,0.0,0
fund__net_margin_missing,0.0,0.0,0.0,0.0,0
fund__net_income_growth_yoy_missing,0.0,0.0,0.0,0.0,0
fund__sales_yield_missing,0.0,0.0,0.0,0.0,0
fund__roa_missing,0.0,0.0,0.0,0.0,0
fund__revenue_growth_yoy_missing,0.0,0.0,0.0,0.0,0
tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,0.0,0.0,0
