as_of_date,assets,observations,window_start_date,window_end_date,shrinkage,minimum_eigenvalue,maximum_eigenvalue,sample_condition_number,shrinkage_condition_number,mean_pairwise_correlation,median_pairwise_correlation,maximum_pairwise_correlation,minimum_pairwise_correlation
2023-05-31,50,252,2022-05-31,2023-05-31,0.03202501822699741,0.006342787862134942,2.244948570963879,729.9606208735215,353.93719918739765,0.4042192924147405,0.4154942249275593,0.8754653110719205,-0.025511972169881013
2023-06-30,50,252,2022-06-30,2023-06-30,0.03687172951863273,0.006274358066220309,1.9432108706025089,692.2513495779681,309.70672220068207,0.37730708405054997,0.38766304247895145,0.8600261512469656,-0.07023911934045789
2023-07-31,50,252,2022-07-29,2023-07-31,0.04071332115140609,0.006585811283428988,1.8053706228912763,622.3587789076503,274.13033037158135,0.3645851147854326,0.37148560626238164,0.8528317375760337,-0.08195623463578403
2023-08-31,50,252,2022-08-31,2023-08-31,0.04462126427598639,0.007097908784195996,1.6827603179665696,528.4969197427736,237.07832393019055,0.3518538687296626,0.36413721158604323,0.8388887328287318,-0.06634382558504705
2023-09-29,50,252,2022-09-29,2023-09-29,0.0490264350272933,0.007221705782800723,1.5176901983027689,489.1118701107412,210.15674744287088,0.32471171330662263,0.33366778993052804,0.8225568029713055,-0.09080106285877945
2023-10-31,50,252,2022-10-31,2023-10-31,0.05788304519486322,0.007397397840647488,1.270341836562959,429.6645601468787,171.72820279891346,0.2779827685670115,0.2784505198911801,0.8127413940170255,-0.10671175579349829
2023-11-30,50,252,2022-11-30,2023-11-30,0.05450707816300946,0.006807449555287865,1.054505818308428,355.0599140728249,154.90468342718933,0.2549460602867522,0.24893171423344448,0.8288910951258149,-0.0986886072579877
2023-12-29,50,252,2022-12-29,2023-12-29,0.06445422980769774,0.007104837098474742,0.9020390749865186,322.94214769013666,126.96126068536724,0.2239883499806453,0.21757243579494995,0.8149464200472768,-0.11915801308840128
2024-01-31,50,252,2023-01-31,2024-01-31,0.07185534055181686,0.007324476574155119,0.8015142762439964,290.68324456009816,109.42956375506577,0.20809571329904186,0.20567905796434313,0.8250413032515729,-0.14564991885939593
2024-02-29,50,252,2023-03-01,2024-02-29,0.07277975892748281,0.007490687606356249,0.7551290502394963,252.76645547677933,100.8090431643056,0.2023737082695215,0.19756842626437388,0.8225556854951335,-0.1464249783048575
2024-03-28,50,252,2023-03-29,2024-03-28,0.08274694899327754,0.008171883169781699,0.6751898658432893,210.60926943749655,82.62353386793765,0.18075289712700035,0.17101632256456978,0.7956145905283819,-0.16745551781932305
2024-04-30,50,252,2023-05-01,2024-04-30,0.08173987033563491,0.008294293596184632,0.6771995480443298,204.90119499657007,81.64644043416085,0.17632767754963294,0.17279109905273182,0.7928532471224169,-0.15462837052099923
2024-05-31,50,252,2023-06-01,2024-05-31,0.08397628046015243,0.008160403688856182,0.6161224495322446,191.93735914503694,75.50146696463305,0.17107724386744932,0.16716619967634486,0.7807624276912422,-0.18026757598036766
2024-06-28,50,252,2023-06-29,2024-06-28,0.09379539493456546,0.00871817140590832,0.5897209996138841,189.49229794289857,67.64273976240372,0.15743923631405296,0.15379712199350126,0.764878987256244,-0.19046666000811033
2024-07-31,50,252,2023-08-01,2024-07-31,0.08805720789706536,0.00896660851226785,0.6651595939174701,196.4313257522016,74.18184846672172,0.15309633806373815,0.14739058857872328,0.7532354888443986,-0.25925001944566756
2024-08-30,50,252,2023-08-31,2024-08-30,0.08234071072467716,0.008889431779888693,0.7523892875863745,216.39710224522594,84.63862552931315,0.1628704210357871,0.15437796234650544,0.7740003551937458,-0.22915247530347405
2024-09-30,50,252,2023-09-29,2024-09-30,0.07942955270117966,0.009121327343292804,0.7904428343865326,206.46680129296143,86.65875092924591,0.15701380094540804,0.14675885841465702,0.7747093264799603,-0.25616575155223226
2024-10-31,50,252,2023-11-01,2024-10-31,0.08296125815724283,0.009141064371319329,0.7669751454317271,208.20839814407384,83.90435886636564,0.14955366216325353,0.14043436425362793,0.7666384975697131,-0.2950038387519779
2024-11-29,50,252,2023-11-30,2024-11-29,0.09582280410502637,0.010595023944002474,0.7708183710588024,192.22746670714756,72.75286730193191,0.13578835295494698,0.12597499167285597,0.7227809946670473,-0.3033397283597517
2024-12-31,50,252,2024-01-02,2024-12-31,0.09131263957305355,0.010388013447201807,0.8267556048011135,210.60137644304945,79.58746000890238,0.1414662367670067,0.1344795443317764,0.732224923112891,-0.30677302695743847
2025-01-31,50,252,2024-01-31,2025-01-31,0.09380564452814565,0.010962170381107798,0.8747651356421984,223.3360267423775,79.79853489139052,0.1395134793452316,0.13717885846727146,0.7303069962065608,-0.3670587344230223
2025-02-28,50,252,2024-02-28,2025-02-28,0.08912730827739332,0.010306036381774927,0.8932124064949256,246.16502034034957,86.66885826974888,0.13594725571904212,0.13395955905722512,0.7452926894953972,-0.3869655701231053
2025-03-31,50,252,2024-03-28,2025-03-31,0.07591989671306798,0.009911755610375217,1.0387938597109718,267.06073443040276,104.80422445279038,0.1550125749215023,0.1591908899450863,0.7561982922278762,-0.419080968614768
2025-04-30,50,252,2024-04-29,2025-04-30,0.10989615479290764,0.01492104742877303,1.7097665083919429,449.03348368909974,114.58756609103145,0.25201715909182254,0.25726950224471085,0.7548801481854885,-0.3128982918098904
