model_name,feature,mean_coefficient,mean_absolute_coefficient,nonzero_ratio
elastic_net,fund__net_income_growth_yoy_missing,0.0002938020618520293,0.0002938020618520293,0.19480519480519481
elastic_net,fund__operating_cash_flow_growth_yoy_zscore,-0.0001421542903803993,0.00026094854914690373,0.45454545454545453
elastic_net,tech__return_1m_sector_neutral,0.0001625918757588325,0.0002543542401891684,0.36363636363636365
elastic_net,fund__net_income_growth_yoy_zscore,-0.00022294328535871,0.0002322475073273523,0.36363636363636365
elastic_net,fund__debt_to_assets_missing,-0.00022606655561117667,0.00022606655561117667,0.3116883116883117
elastic_net,fund__net_debt_to_assets_missing,-0.00021885830997055817,0.00021885830997055817,0.3116883116883117
elastic_net,fund__earnings_yield_sector_zscore,0.0002096068926292868,0.0002096068926292868,0.2987012987012987
elastic_net,fund__capex_to_assets_sector_zscore,0.00020305355541108024,0.00020762061004869322,0.2857142857142857
elastic_net,tech__momentum_12_1_sector_neutral,0.00011751469126732051,0.00020670789020666556,0.5064935064935064
elastic_net,fund__cash_conversion_missing,-0.000200424952690082,0.000200424952690082,0.18181818181818182
elastic_net,fund__accruals_missing,-0.00020028748693784706,0.00020028748693784706,0.18181818181818182
elastic_net,tech__reversal_1m_sector_neutral,-0.00010869152119375996,0.00019848977743968608,0.36363636363636365
elastic_net,fund__book_to_market_sector_zscore,-1.1860291211600854e-06,0.0001970509778037774,0.33766233766233766
elastic_net,fund__roe_zscore,0.00019183696233147785,0.00019183696233147785,0.45454545454545453
elastic_net,fund__fcf_yield_sector_zscore,0.00016835214181990297,0.00019051538464343303,0.6623376623376623
elastic_net,fund__interest_coverage_sector_zscore,-0.00018149973995816758,0.00019044717279581442,0.5714285714285714
elastic_net,fund__revenue_growth_yoy_zscore,0.00017916913923193332,0.0001840735137257678,0.4155844155844156
elastic_net,tech__return_1w_sector_neutral,-0.00011893242317513266,0.000181595536259563,0.4675324675324675
elastic_net,fund__operating_cash_flow_growth_acceleration_zscore,-0.00017322685336499142,0.00017723900341504002,0.44155844155844154
elastic_net,fund__gross_profitability_sector_zscore,0.00017003928042593145,0.00017003928042593145,0.2857142857142857
elastic_net,fund__capex_to_assets_missing,-0.00013560439865096987,0.00015706634034440268,0.14285714285714285
elastic_net,fund__operating_margin_sector_zscore,-0.00010448744397384397,0.00015093937586754832,0.33766233766233766
elastic_net,fund__current_ratio_sector_zscore,-0.00014859926424346293,0.00014859926424346293,0.24675324675324675
elastic_net,fund__net_income_growth_acceleration_sector_zscore,-0.00012894482887010987,0.00013291519271467175,0.33766233766233766
elastic_net,fund__debt_to_assets_zscore,0.00012098914003519419,0.00012098914003519419,0.15584415584415584
elastic_net,tech__volatility_20d_sector_neutral,9.559730314925773e-05,0.0001084915040539534,0.35064935064935066
elastic_net,fund__cash_conversion_sector_zscore,0.00010333057274426905,0.00010333057274426905,0.2077922077922078
elastic_net,fund__fcf_yield_zscore,9.296360265432736e-06,0.00010148306748691667,0.2987012987012987
elastic_net,fund__net_margin_missing,9.95061767584177e-05,9.95061767584177e-05,0.07792207792207792
elastic_net,fund__gross_profitability_zscore,7.039294224157423e-05,8.932916920189773e-05,0.3116883116883117
elastic_net,fund__net_debt_to_assets_sector_zscore,6.707424677273189e-05,8.532246296658196e-05,0.3246753246753247
elastic_net,fund__sales_yield_missing,6.750714524128427e-05,6.750714524128427e-05,0.03896103896103896
elastic_net,fund__net_income_growth_acceleration_missing,-5.656417599874847e-05,5.798272909630034e-05,0.07792207792207792
elastic_net,tech__positive_day_ratio_60d_sector_neutral,1.21352340325803e-05,2.8269212603496826e-05,0.2077922077922078
elastic_net,tech__zero_volume_ratio_60d_sector_neutral,0.0,0.0,0.0
ridge,fund__book_to_market_missing,0.010468694879354347,0.010468694879354347,1.0
ridge,tech__distance_sma_200d_sector_neutral,0.008269535426221884,0.008269535426221884,1.0
ridge,tech__sma_50_200_spread_sector_neutral,-0.0077001438044903454,0.0077001438044903454,1.0
ridge,tech__distance_sma_50d_sector_neutral,-0.007320741681064272,0.007320741681064272,1.0
ridge,fund__sales_yield_zscore,-0.0066530695847995215,0.0066530695847995215,1.0
ridge,fund__revenue_growth_acceleration_missing,-0.006406432543403203,0.006406432543403203,1.0
ridge,fund__roa_missing,0.006378481554088872,0.006378481554088872,1.0
ridge,fund__operating_cash_flow_growth_yoy_missing,-0.005694340200718221,0.005694340200718221,1.0
ridge,fund__earnings_yield_missing,-0.003976021321122089,0.00536405765955577,1.0
ridge,tech__max_drawdown_126d_sector_neutral,-0.005086908481616861,0.005086908481616861,1.0
ridge,tech__momentum_6_1_sector_neutral,0.003892249912567747,0.0038945515325717775,1.0
ridge,fund__operating_cash_flow_growth_acceleration_missing,0.0036829588050742803,0.0036829588050742803,1.0
ridge,fund__earnings_yield_zscore,0.003519863301181201,0.003519863301181201,1.0
ridge,fund__sales_yield_sector_zscore,0.0031416621641119176,0.0031416621641119176,1.0
ridge,fund__roe_missing,0.00313700789711237,0.00313700789711237,1.0
ridge,fund__current_ratio_missing,-0.0029452398440379538,0.003025116893583131,1.0
ridge,fund__interest_coverage_missing,-0.002976022511817124,0.002993753814395974,1.0
ridge,fund__operating_margin_zscore,0.0029747626040338713,0.0029747626040338713,1.0
ridge,tech__amihud_illiquidity_20d_sector_neutral,0.002928205263048931,0.002928205263048931,1.0
ridge,fund__operating_margin_missing,0.002818058254599737,0.002818058254599737,1.0
ridge,fund__sales_yield_missing,0.0028099035503248533,0.0028099035503248533,1.0
ridge,tech__downside_volatility_60d_sector_neutral,-0.0027237645609728208,0.0027237645609728208,1.0
ridge,tech__volatility_60d_sector_neutral,0.002698028612467801,0.002698028612467801,1.0
ridge,fund__net_income_growth_acceleration_zscore,0.0023208409029035386,0.0025521247694527383,1.0
ridge,fund__current_ratio_zscore,0.0024813027692768574,0.002485105285411247,1.0
ridge,fund__asset_growth_yoy_missing,0.0024089527417824473,0.0024518906553366335,1.0
ridge,tech__average_dollar_volume_20d_sector_neutral,0.002362524355425671,0.002362524355425671,1.0
ridge,fund__capex_to_assets_missing,0.0005171847195143466,0.0022731405192928838,1.0
ridge,fund__book_to_market_zscore,0.0005577039140412851,0.0020179358718478983,1.0
ridge,fund__net_debt_to_assets_zscore,-0.002001689322980243,0.002001689322980243,1.0
ridge,fund__net_margin_zscore,-0.001772721732311548,0.001978688841110477,1.0
ridge,fund__net_income_growth_acceleration_missing,-0.001574494088919615,0.0019701918438304487,1.0
ridge,fund__fcf_yield_missing,-0.0007085424596474296,0.001907657665232662,1.0
ridge,fund__capex_to_assets_zscore,-0.001842480029992445,0.001842480029992445,1.0
ridge,fund__accruals_missing,-0.0017543910930216105,0.0017655172549229288,1.0
ridge,fund__cash_conversion_missing,-0.001754391093021313,0.0017655172549226313,1.0
ridge,fund__operating_cash_flow_growth_yoy_sector_zscore,0.0017070474280821044,0.0017070474280821044,1.0
ridge,fund__cash_conversion_zscore,-0.0016883382077944435,0.0016883382077944435,1.0
ridge,fund__net_income_growth_yoy_missing,0.0016301536078373018,0.0016384135353920328,1.0
ridge,fund__gross_margin_missing,-0.0015724663539829048,0.0015724663539829048,1.0
ridge,fund__gross_profitability_missing,-0.0015724663539828732,0.0015724663539828732,1.0
ridge,fund__roa_sector_zscore,-0.0014822268835423882,0.001515477781690922,1.0
ridge,fund__net_margin_sector_zscore,-0.0011091575831033138,0.00149662605094325,1.0
ridge,fund__asset_growth_yoy_sector_zscore,-0.0013745390884627035,0.0014256254895799935,1.0
ridge,tech__beta_60d_market_sector_neutral,-0.001401704471735534,0.0014242334303480216,1.0
ridge,fund__revenue_growth_yoy_missing,0.0006556287121613528,0.0014130670424178573,1.0
