model_name,as_of_date,observations,valid_ranking,unique_predictions,prediction_mean,prediction_std,target_mean,rmse,mae,information_coefficient,top_mean_target,bottom_mean_target,top_bottom_spread,top_quintile_precision,quintile_monotonicity,predicted_top_count,actual_top_count
momentum_3m,2023-12-29,50,True,50,0.018534322767219003,0.8391072677799459,0.000947819937179537,0.8255692883598533,0.6456619301924842,0.14756302521008402,0.013315310150955429,-0.03625516695444323,0.049570477105398664,0.1,0.7,10,10
ridge,2023-12-29,50,True,50,0.0025684205646875464,0.00672431637215472,0.000947819937179537,0.07137335193466929,0.05053085433529311,0.03788715486194477,0.01914251585171569,0.005877673643058312,0.013264842208657378,0.4,0.09999999999999999,10,10
constant,2024-01-31,50,False,1,0.0025230245079463885,4.336808689942018e-19,0.009717107388710032,0.08030729665185521,0.0572799210455267,,,,,,,0,10
elastic_net,2024-01-31,50,True,50,0.0027662344361622693,0.007273726425352155,0.009717107388710032,0.07964872640816417,0.05663016359592117,0.16091236494597838,0.028028904328490124,0.013034199387620727,0.014994704940869397,0.1,0.7,10,10
equal_weight_composite,2024-01-31,50,True,50,0.02333610642139307,0.41152533417534143,0.009717107388710032,0.4294637920583035,0.3420795244063342,0.03308523409363745,0.0033436203900299223,0.02090560686350267,-0.017561986473472745,0.1,-0.8999999999999998,10,10
momentum_3m,2024-01-31,50,True,50,0.02034968622929548,0.8122418273139856,0.009717107388710032,0.7703029824753573,0.6221689546779213,0.5690756302521007,0.07531721341687717,-0.04754684799699842,0.12286406141387558,0.4,0.8999999999999998,10,10
ridge,2024-01-31,50,True,50,0.002764999182530239,0.007301402163226291,0.009717107388710032,0.07964894610912354,0.05664105759564625,0.16091236494597838,0.028028904328490124,0.013034199387620727,0.014994704940869397,0.1,0.7,10,10
constant,2024-02-29,50,False,1,0.0025230245079463885,4.336808689942018e-19,0.0030815722788372813,0.060108042904939984,0.04501083219221368,,,,,,,0,10
elastic_net,2024-02-29,50,True,50,0.0027039393164778602,0.005797695724333785,0.0030815722788372813,0.05974773079867765,0.044225170949316245,0.2103721488595438,0.007269156548914213,-0.03218511394617733,0.039454270495091544,0.3,0.3,10,10
equal_weight_composite,2024-02-29,50,True,50,0.013668504954079246,0.30694061780012366,0.0030815722788372813,0.30922875458420246,0.2598099514164689,0.1495798319327731,0.0395196065160686,0.013692065050446667,0.025827541465621936,0.3,0.09999999999999999,10,10
momentum_3m,2024-02-29,50,True,50,0.008885933899005332,0.8912643880194111,0.0030815722788372813,0.8811445232890263,0.6905300322238523,0.1296998799519808,0.005782682478069012,-0.022647986838794487,0.0284306693168635,0.2,0.7,10,10
